Month,local_vwc_mean,local_z_score,site,smap_soil_moisture_mean,smap_z_score
2021-10-01,0.7130665322580645,0.8240284279943,Chirimachaya,0.21303049847483632,-1.1837850416865234
2021-11-01,0.7105818960527839,0.7909530018237306,Chirimachaya,0.22700599295397597,-0.8934577524627729
2021-12-01,0.7121617383512545,0.8119838300766364,Chirimachaya,0.24490962153480897,-0.5215273022807986
2022-01-01,0.6730781810035843,0.2917043168067718,Chirimachaya,0.24435218051075933,-0.5331075967495211
2022-02-01,0.6938245287698412,0.5678792724777129,Chirimachaya,0.2833288830838033,0.27659544580134665
2022-03-01,0.7262620967741936,0.9996875120101517,Chirimachaya,0.31745124716431866,0.9854543330621123
2022-04-01,0.7136390046296297,0.8316491684552793,Chirimachaya,0.3180023158589999,0.996902248593236
2022-05-01,0.7118659274193548,0.8080460010223464,Chirimachaya,0.30687407740662176,0.7657239308215884
2022-06-01,0.7009291666666667,0.6624560663462304,Chirimachaya,0.29851498591403164,0.5920719446940532
2022-07-01,0.7115070564516129,0.8032687180651549,Chirimachaya,0.28003721840439305,0.20821431733156764
2022-08-01,0.7087223342293907,0.7661985529959576,Chirimachaya,0.26044700859535125,-0.19875321556489756
2022-09-01,0.6739988425925927,0.30396014498419577,Chirimachaya,0.22773695321132736,-0.8782727648858475
2022-10-01,0.7035775089605735,0.6977107446087234,Chirimachaya,0.2119076953179413,-1.207110183946053
2022-11-01,0.6233293981481481,-0.37055045953173416,Chirimachaya,0.2049490050723155,-1.3516701978028693
2022-12-01,0.5448542786738351,-1.415209639367725,Chirimachaya,0.20000779208156366,-1.4543190861998743
2023-01-01,0.6904476926523297,0.5229268993868404,Chirimachaya,0.22813525375339289,-0.869998458967954
2023-02-01,0.6824671378968253,0.4166899182727135,Chirimachaya,0.2470491829860423,-0.4770799965206055
2023-03-01,0.6899204660020164,0.5159084690385528,Chirimachaya,0.2998708288275426,0.620238260975773
2023-04-01,0.7267506944444445,1.0061917141686607,Chirimachaya,0.32674361430108545,1.1784942119240907
2023-05-01,0.6993065979612412,0.6408564650408484,Chirimachaya,0.3092476359057811,0.8150322973987789
2023-06-01,0.6936189814814815,0.5651430311936751,Chirimachaya,0.2922762855887413,0.4624690203449766
2023-07-01,0.6962504480286739,0.6001730598622603,Chirimachaya,0.26935601186367775,-0.013677347770773136
2023-08-01,0.6914127926515067,0.535774290768384,Chirimachaya,0.2379285446217944,-0.6665523773536911
2023-09-01,0.5823318287037037,-0.9163092625510946,Chirimachaya,0.21208852902054784,-1.2033535398604776
2023-10-01,0.45617293906810036,-2.5957338121229867,Chirimachaya,0.19278729670951442,-1.604317846626471
2023-11-01,0.38332939814814815,-3.5654255338246035,Chirimachaya,0.18896631083140766,-1.683695107574826
2023-12-01,0.5126398566147642,-1.8440473646563746,Chirimachaya,0.19763184188594737,-1.5036771379420537
2024-01-01,0.6230982302867383,-0.373627761358384,Chirimachaya,0.25889956266168623,-0.23089989801766303
2024-02-01,0.5941851275296371,-0.7585183918547626,Chirimachaya,0.28888676328391866,0.3920549949957155
2024-03-01,0.6300164650537635,-0.2815323621280703,Chirimachaya,0.29737113187870673,0.5683094909333493
2024-04-01,0.6425512731481482,-0.11466925403726155,Chirimachaya,0.29470091437300044,0.5128383223656354
2024-05-01,0.6527456317204301,0.021037838050185515,Chirimachaya,0.2976389589809602,0.573873338187124
