Date,tdr_vwc_mean,tdr_vwc_std,tdr_samples,site,smap_soil_moisture_mean,smap_samples,has_tdr,has_smap,has_overlap,tdr_minus_smap
2023-06-17,0.7048402777777778,0.004791344103671168,288.0,Chirimachaya,0.2924892306327819,8.0,True,True,True,0.4123510471449959
2023-06-18,0.6918715277777777,0.0027938749131958328,288.0,Chirimachaya,0.29087566956877703,8.0,True,True,True,0.4009958582090007
2023-06-19,0.6837534722222223,0.00231905943911586,288.0,Chirimachaya,0.28885164111852646,8.0,True,True,True,0.3949018311036958
2023-06-20,0.6763923611111111,0.002439985715989185,288.0,Chirimachaya,0.2868158109486103,8.0,True,True,True,0.3895765501625008
2023-06-21,0.6694270833333333,0.001894857105292323,288.0,Chirimachaya,0.28543731570243835,8.0,True,True,True,0.383989767630895
2023-06-22,0.6642604166666667,0.0015766907853959355,288.0,Chirimachaya,0.2851015329360962,8.0,True,True,True,0.3791588837305705
2023-06-23,0.6595937500000001,0.0014209345087122466,288.0,Chirimachaya,0.28433565795421595,8.0,True,True,True,0.37525809204578414
2023-06-24,0.6705173611111112,0.016384524992018708,288.0,Chirimachaya,0.28303108736872673,8.0,True,True,True,0.3874862737423844
2023-06-25,0.6948020833333333,0.001712547209349452,288.0,Chirimachaya,0.2817259766161442,8.0,True,True,True,0.4130761067171891
2023-06-26,0.7056840277777777,0.004520278169641073,288.0,Chirimachaya,0.28093018755316734,8.0,True,True,True,0.4247538402246104
2023-06-27,0.6990868055555555,0.003187972748906905,288.0,Chirimachaya,0.28091952204704285,8.0,True,True,True,0.4181672835085126
2023-06-28,0.6908368055555555,0.0020930695837975024,288.0,Chirimachaya,0.27947134152054787,8.0,True,True,True,0.4113654640350076
2023-06-29,0.7088402777777778,0.028636168546987913,288.0,Chirimachaya,0.2770568057894706,8.0,True,True,True,0.4317834719883072
2023-06-30,0.7457777777777778,0.003532713113667271,288.0,Chirimachaya,0.2769315876066685,8.0,True,True,True,0.4688461901711093
2023-07-01,0.7167013888888889,0.0064436229568393035,288.0,Chirimachaya,0.2760053798556328,8.0,True,True,True,0.4406960090332561
2023-07-02,0.6980590277777777,0.0037731845567867627,288.0,Chirimachaya,0.2738422341644764,8.0,True,True,True,0.42421679361330134
2023-07-03,0.6880833333333334,0.0028086476714172383,288.0,Chirimachaya,0.27268826588988304,8.0,True,True,True,0.41539506744345034
2023-07-04,0.6796840277777778,0.0024947656197493793,288.0,Chirimachaya,0.2711027227342129,8.0,True,True,True,0.40858130504356494
2023-07-05,0.6722187500000001,0.002109559088302087,288.0,Chirimachaya,0.2699851430952549,8.0,True,True,True,0.4022336069047452
2023-07-06,0.6669131944444444,0.0015759846887145787,288.0,Chirimachaya,0.26947339624166483,8.0,True,True,True,0.3974397982027796
2023-07-07,0.6660451388888888,0.004233767193603395,288.0,Chirimachaya,0.2684600241482258,8.0,True,True,True,0.39758511474066305
2023-07-08,0.7303958333333334,0.028676185350771002,288.0,Chirimachaya,0.27738309279084206,8.0,True,True,True,0.4530127405424913
2023-07-09,0.7468819444444444,0.0022708469855422784,288.0,Chirimachaya,0.2828500419855118,8.0,True,True,True,0.46403190245893267
2023-07-10,0.7154340277777778,0.008818484413105026,288.0,Chirimachaya,0.2815089821815491,8.0,True,True,True,0.4339250455962287
2023-07-11,0.7009201388888888,0.0005818485334124654,288.0,Chirimachaya,0.2790920361876488,8.0,True,True,True,0.42182810270124005
2023-07-12,0.7016770833333333,0.0018374432604009682,288.0,Chirimachaya,0.2765849456191063,8.0,True,True,True,0.42509213771422705
2023-07-13,0.6943611111111111,0.002349619618147188,288.0,Chirimachaya,0.2744414657354355,8.0,True,True,True,0.4199196453756756
2023-07-14,0.6876979166666666,0.0017497822164136581,288.0,Chirimachaya,0.27260174974799156,8.0,True,True,True,0.415096166918675
2023-07-15,0.6883298611111112,0.004727288706777518,288.0,Chirimachaya,0.27391165122389793,8.0,True,True,True,0.41441820988721323
2023-07-16,0.6936388888888888,0.0007796283498680737,288.0,Chirimachaya,0.2758946046233177,8.0,True,True,True,0.4177442842655711
2023-07-17,0.6917743055555555,0.000699252615225202,288.0,Chirimachaya,0.2742285393178463,8.0,True,True,True,0.4175457662377092
2023-07-18,0.7088784722222221,0.012570185749749125,288.0,Chirimachaya,0.27317934855818743,8.0,True,True,True,0.4356991236640347
2023-07-19,0.7029826388888888,0.006132370611649426,288.0,Chirimachaya,0.2712719887495041,8.0,True,True,True,0.4317106501393847
2023-07-20,0.7083368055555554,0.0070474573122745335,288.0,Chirimachaya,0.26914791762828827,8.0,True,True,True,0.4391888879272672
2023-07-21,0.7082048611111111,0.0021502071810432424,288.0,Chirimachaya,0.2678023390471935,8.0,True,True,True,0.4404025220639176
2023-07-22,0.7008159722222221,0.0010807896967327361,288.0,Chirimachaya,0.2664130739867687,8.0,True,True,True,0.4344028982354534
2023-07-23,0.6943437499999999,0.0023455560695200524,288.0,Chirimachaya,0.2649907357990742,8.0,True,True,True,0.42935301420092575
2023-07-24,0.6938923611111111,0.003818013053149992,288.0,Chirimachaya,0.2634124122560024,8.0,True,True,True,0.43047994885510865
2023-07-25,0.6933472222222222,0.0020662189017013983,288.0,Chirimachaya,0.26240982860326767,8.0,True,True,True,0.43093739361895456
